region,country
Southeast Asia,Brunei Darussalam
Southeast Asia,Cambodia
Southeast Asia,Timor-Leste
Southeast Asia,Indonesia
Southeast Asia,Lao People's Democratic Republic
Southeast Asia,Malaysia
Southeast Asia,Myanmar
Southeast Asia,Philippines
Southeast Asia,Singapore
Southeast Asia,Thailand
Southeast Asia,Viet Nam
South Asia,Bangladesh
South Asia,Bhutan
South Asia,India
South Asia,Maldives
South Asia,Nepal
South Asia,Pakistan
South Asia,Sri Lanka
South America,Argentina
South America,"Bolivia, Plurinational State of"
South America,Brazil
South America,Chile
South America,Colombia
South America,Ecuador
South America,Falkland Islands (Malvinas)
South America,French Guiana
South America,Guyana
South America,Paraguay
South America,Peru
South America,Suriname
South America,Uruguay
South America,"Venezuela, Bolivarian Republic of"
